"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/README.md", "Markdown", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 28, 118
"/home/galeano/dotfiles/alacritty/.config/alacritty/alacritty.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 11, 38
"/home/galeano/dotfiles/alacritty/.config/alacritty/custom_themes/iterm.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 4, 4, 29
"/home/galeano/dotfiles/gtk-3.0/.config/gtk-3.0/settings.ini", "Ini", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/galeano/dotfiles/neofetch/.config/neofetch/config.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 85, 0, 646, 134, 865
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.circleci/config.yml", "YAML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github/ISSUE_TEMPLATE/bug-report.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 10, 37
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.github/ISSUE_TEMPLATE/feature_request.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/.rubocop.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 9, 31
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/CHANGELOG.md", "Markdown", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 27, 118
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Dockerfile", "Docker", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Gemfile", "Ruby", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/INSTALL.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 25, 82
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/Makefile", "Makefile", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/README.md", "Markdown", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 88, 192
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/install_test_zsh.sh", "Shell Script", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/async_spec.rb", "Ruby", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 71
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/auto_cd_spec.rb", "Ruby", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/bracketed_paste_magic_spec.rb", "Ruby", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/client_zpty_spec.rb", "Ruby", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/glob_subst_spec.rb", "Ruby", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/rebound_bracket_spec.rb", "Ruby", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/vi_mode_spec.rb", "Ruby", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 12, 81
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/wrapped_widget_spec.rb", "Ruby", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/integrations/zle_input_stack_spec.rb", "Ruby", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 4, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/kill_ring_spec.rb", "Ruby", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
